,0,1,2,3,4,5,6,7,8,9
0,0j,0j,0j,-0j,0j,-0j,0j,0j,0j,0j
1,(0.5925413168477096+0j),(-0.5110654875238791+0j),(0.03543774076978871+0j),(0.04676528799570123-0.011154805922163225j),(0.04676528799570123+0.011154805922163225j),(0.042028136696971585+0.03786699966852988j),(0.042028136696971585-0.03786699966852988j),(0.017821611032770277+0j),(-0.03692680692109308+0j),(0.0885834680620413+0j)
2,(0.59254131684771+0j),(-0.5110654875238797+0j),(0.035437740769788985+0j),(0.046765287995701316-0.011154805922163268j),(0.046765287995701316+0.011154805922163268j),(0.042028136696971814+0.037866999668529876j),(0.042028136696971814-0.037866999668529876j),(0.017821611032770374+0j),(-0.036926806921092944+0j),(0.08858346806204125+0j)
3,0j,0j,0j,-0j,0j,-0j,0j,0j,0j,0j
4,(0.03418980789737962+0j),(-0.029701131292536608+0j),(0.012751283538321856+0j),(0.01259885795680662-0.0012501773256585371j),(0.01259885795680662+0.0012501773256585371j),(0.021114483755891134+5.0885188818251024e-05j),(0.021114483755891134-5.0885188818251024e-05j),(0.0017522773310555948+0j),(0.024452744782671086+0j),(-0.031094960033940185+0j)
5,(0.03418980789737958+0j),(-0.02970113129253633+0j),(0.012751283538321737+0j),(0.012598857956806412-0.0012501773256583968j),(0.012598857956806412+0.0012501773256583968j),(0.021114483755891165+5.088518881815563e-05j),(0.021114483755891165-5.088518881815563e-05j),(0.0017522773310553773+0j),(0.024452744782671464+0j),(-0.031094960033940473+0j)
6,0j,0j,0j,-0j,0j,-0j,0j,0j,0j,0j
7,(0.0915550634086786+0j),(-0.08024179151473185+0j),(0.03932094529182864+0j),(0.16268266753140848+0.0376509319888247j),(0.16268266753140848-0.0376509319888247j),(0.07857377498910444+0.03314575656647097j),(0.07857377498910444-0.03314575656647097j),(0.043562215876828646+0j),(0.008297560383966101+0j),(-0.02028588811008838+0j)
8,(0.09155506340867844+0j),(-0.08024179151473178+0j),(0.03932094529182861+0j),(0.16268266753140836+0.03765093198882478j),(0.16268266753140836-0.03765093198882478j),(0.07857377498910473+0.03314575656647099j),(0.07857377498910473-0.03314575656647099j),(0.043562215876828535+0j),(0.008297560383966436+0j),(-0.020285888110088635+0j)
9,(0.020316069733019103+0j),(-0.09173933608798189+0j),(-0.013234043973717679+0j),(0.01492159842570902+0.009944762042363211j),(0.01492159842570902-0.009944762042363211j),(0.01152700631774759+0.0052018188325723405j),(0.01152700631774759-0.0052018188325723405j),(0.004603435724345122+0j),(0.0032085767374601575+0j),(0.003187463705971776+0j)
10,(0.020316069733019308+0j),(-0.09173933608798197+0j),(-0.013234043973717746+0j),(0.014921598425708846+0.009944762042363098j),(0.014921598425708846-0.009944762042363098j),(0.011527006317747618+0.0052018188325722555j),(0.011527006317747618-0.0052018188325722555j),(0.004603435724345076+0j),(0.003208576737460251+0j),(0.0031874637059717656+0j)
11,(0.020316069733019217+0j),(-0.09173933608798208+0j),(-0.013234043973717701+0j),(0.01492159842570891+0.009944762042363171j),(0.01492159842570891-0.009944762042363171j),(0.011527006317747559+0.005201818832572304j),(0.011527006317747559-0.005201818832572304j),(0.004603435724345137+0j),(0.0032085767374601592+0j),(0.0031874637059717964+0j)
12,0j,0j,0j,-0j,0j,-0j,0j,0j,0j,0j
13,(0.019973235229794127+0j),(-0.017252167429908243+0j),(0.008123442632957906+0j),(-0.013659570205158643+0.00697206871046009j),(-0.013659570205158643-0.00697206871046009j),(-0.008833766092720925+0.006133645324478343j),(-0.008833766092720925-0.006133645324478343j),(-0.00419616042067043+0j),(-0.01438225803732552+0j),(0.014141133097165848+0j)
